Região,Período,Casos_Hospitalares,Ano,Mês,Mês_Num,Data,Ano_Num,Trimestre,Semestre
Região Sudeste,2012/Jul,22.0,2012,Jul,7,2012-07-01,2012,3,2
Região Sul,2012/Jul,4.0,2012,Jul,7,2012-07-01,2012,3,2
Região Centro-Oeste,2012/Jul,6.0,2012,Jul,7,2012-07-01,2012,3,2
Região Norte,2012/Ago,,2012,Ago,8,2012-08-01,2012,3,2
Região Nordeste,2012/Ago,7.0,2012,Ago,8,2012-08-01,2012,3,2
Região Sudeste,2012/Ago,28.0,2012,Ago,8,2012-08-01,2012,3,2
Região Sul,2012/Ago,5.0,2012,Ago,8,2012-08-01,2012,3,2
Região Centro-Oeste,2012/Ago,7.0,2012,Ago,8,2012-08-01,2012,3,2
Região Norte,2012/Set,1.0,2012,Set,9,2012-09-01,2012,3,2
Região Nordeste,2012/Set,7.0,2012,Set,9,2012-09-01,2012,3,2
Região Sudeste,2012/Set,10.0,2012,Set,9,2012-09-01,2012,3,2
Região Sul,2012/Set,5.0,2012,Set,9,2012-09-01,2012,3,2
Região Centro-Oeste,2012/Set,2.0,2012,Set,9,2012-09-01,2012,3,2
Região Norte,2012/Out,,2012,Out,10,2012-10-01,2012,4,2
Região Nordeste,2012/Out,6.0,2012,Out,10,2012-10-01,2012,4,2
Região Sudeste,2012/Out,17.0,2012,Out,10,2012-10-01,2012,4,2
Região Sul,2012/Out,2.0,2012,Out,10,2012-10-01,2012,4,2
Região Centro-Oeste,2012/Out,6.0,2012,Out,10,2012-10-01,2012,4,2
Região Norte,2012/Nov,,2012,Nov,11,2012-11-01,2012,4,2
Região Nordeste,2012/Nov,6.0,2012,Nov,11,2012-11-01,2012,4,2
Região Sudeste,2012/Nov,14.0,2012,Nov,11,2012-11-01,2012,4,2
Região Sul,2012/Nov,5.0,2012,Nov,11,2012-11-01,2012,4,2
Região Centro-Oeste,2012/Nov,2.0,2012,Nov,11,2012-11-01,2012,4,2
Região Norte,2012/Dez,2.0,2012,Dez,12,2012-12-01,2012,4,2
Região Nordeste,2012/Dez,8.0,2012,Dez,12,2012-12-01,2012,4,2
Região Sudeste,2012/Dez,13.0,2012,Dez,12,2012-12-01,2012,4,2
Região Sul,2012/Dez,2.0,2012,Dez,12,2012-12-01,2012,4,2
Região Centro-Oeste,2012/Dez,,2012,Dez,12,2012-12-01,2012,4,2
Região Norte,2013/Jan,2.0,2013,Jan,1,2013-01-01,2013,1,1
